datetime,energy (kWh)
2024-02-14 03:00:00,6.92
2024-02-14 04:00:00,6.99
2024-02-14 05:00:00,7.48
2024-02-14 06:00:00,7.58
2024-02-14 07:00:00,12.24
2024-02-14 08:00:00,14.74
2024-02-14 09:00:00,13.43
2024-02-14 10:00:00,10.62
2024-02-14 11:00:00,10.2
2024-02-14 12:00:00,11.36
2024-02-14 13:00:00,10.94
2024-02-14 14:00:00,11.04
2024-02-14 15:00:00,9.86
2024-02-14 16:00:00,10.18
2024-02-14 17:00:00,11.36
2024-02-14 18:00:00,12.28
2024-02-14 19:00:00,12.14
2024-02-14 20:00:00,11.84
2024-02-14 21:00:00,11.3
2024-02-14 22:00:00,7.68
2024-02-14 23:00:00,6.96
2024-02-15 00:00:00,7.09
2024-02-15 01:00:00,6.91
2024-02-15 02:00:00,7.65
2024-02-15 03:00:00,7.14
2024-02-15 04:00:00,7.13
2024-02-15 05:00:00,7.8
2024-02-15 06:00:00,7.52
2024-02-15 07:00:00,9.27
2024-02-15 08:00:00,11.25
2024-02-15 09:00:00,14.77
2024-02-15 10:00:00,15.74
2024-02-15 11:00:00,18.69
2024-02-15 12:00:00,17.77
2024-02-15 13:00:00,17.69
2024-02-15 14:00:00,17.57
2024-02-15 15:00:00,17.4
2024-02-15 16:00:00,21.66
2024-02-15 17:00:00,25.09
2024-02-15 18:00:00,20.17
2024-02-15 19:00:00,19.07
2024-02-15 20:00:00,13.87
2024-02-15 21:00:00,12.41
2024-02-15 22:00:00,8.03
2024-02-15 23:00:00,7.36
2024-02-16 00:00:00,7.35
2024-02-16 01:00:00,7.3
2024-02-16 02:00:00,7.84
2024-02-16 03:00:00,7.74
2024-02-16 04:00:00,9.37
2024-02-16 05:00:00,9.54
2024-02-16 06:00:00,8.33
2024-02-16 07:00:00,11.62
2024-02-16 08:00:00,20.53
2024-02-16 09:00:00,23.88
2024-02-16 10:00:00,25.7
2024-02-16 11:00:00,30.12
2024-02-16 12:00:00,27.32
2024-02-16 13:00:00,28.07
2024-02-16 14:00:00,33.88
2024-02-16 15:00:00,31.06
2024-02-16 16:00:00,30.48
2024-02-16 17:00:00,30.71
2024-02-16 18:00:00,28.29
2024-02-16 19:00:00,25.95
2024-02-16 20:00:00,17.71
2024-02-16 21:00:00,15.83
2024-02-16 22:00:00,11.56
2024-02-16 23:00:00,10.33
2024-02-17 00:00:00,9.96
2024-02-17 01:00:00,9.93
2024-02-17 02:00:00,10.68
2024-02-17 03:00:00,10.74
2024-02-17 04:00:00,12.34
2024-02-17 05:00:00,12.44
2024-02-17 06:00:00,11.15
2024-02-17 07:00:00,14.44
2024-02-17 08:00:00,21.19
2024-02-17 09:00:00,24.96
2024-02-17 10:00:00,30.43
2024-02-17 11:00:00,28.77
2024-02-17 12:00:00,26.92
2024-02-17 13:00:00,27.32
2024-02-17 14:00:00,28.35
2024-02-17 15:00:00,36.06
2024-02-17 16:00:00,30.2
2024-02-17 17:00:00,23.55
2024-02-17 18:00:00,17.73
2024-02-17 19:00:00,16.75
2024-02-17 20:00:00,16.37
2024-02-17 21:00:00,15.92
2024-02-17 22:00:00,11.81
2024-02-17 23:00:00,10.55
2024-02-18 00:00:00,10.54
2024-02-18 01:00:00,9.95
2024-02-18 02:00:00,10.5
2024-02-18 03:00:00,10.89
2024-02-18 04:00:00,12.34
2024-02-18 05:00:00,12.4
2024-02-18 06:00:00,11.14
2024-02-18 07:00:00,15.84
2024-02-18 08:00:00,38.13
2024-02-18 09:00:00,45.16
2024-02-18 10:00:00,50.38
2024-02-18 11:00:00,54.59
2024-02-18 12:00:00,45.1
2024-02-18 13:00:00,31.23
2024-02-18 14:00:00,29.66
2024-02-18 15:00:00,30.52
2024-02-18 16:00:00,30.35
2024-02-18 17:00:00,25.21
2024-02-18 18:00:00,16.04
2024-02-18 19:00:00,15.18
2024-02-18 20:00:00,14.51
2024-02-18 21:00:00,13.95
2024-02-18 22:00:00,10.12
2024-02-18 23:00:00,8.59
2024-02-19 00:00:00,8.86
2024-02-19 01:00:00,8.59
2024-02-19 02:00:00,9.19
2024-02-19 03:00:00,9.07
2024-02-19 04:00:00,10.6
2024-02-19 05:00:00,10.79
2024-02-19 06:00:00,9.75
2024-02-19 07:00:00,14.15
2024-02-19 08:00:00,24.44
2024-02-19 09:00:00,31.31
2024-02-19 10:00:00,35.61
2024-02-19 11:00:00,40.51
2024-02-19 12:00:00,37.77
2024-02-19 13:00:00,46.67
2024-02-19 14:00:00,48.72
2024-02-19 15:00:00,41.02
2024-02-19 16:00:00,35.14
2024-02-19 17:00:00,39.24
2024-02-19 18:00:00,38.29
2024-02-19 19:00:00,35.81
2024-02-19 20:00:00,30.72
2024-02-19 21:00:00,28.7
2024-02-19 22:00:00,15.39
2024-02-19 23:00:00,10.96
2024-02-20 00:00:00,10.45
2024-02-20 01:00:00,9.84
2024-02-20 02:00:00,10.26
2024-02-20 03:00:00,10.74
2024-02-20 04:00:00,11.76
2024-02-20 05:00:00,12.14
2024-02-20 06:00:00,10.42
2024-02-20 07:00:00,16.87
2024-02-20 08:00:00,35.26
2024-02-20 09:00:00,44.87
2024-02-20 10:00:00,48.29
2024-02-20 11:00:00,54.45
2024-02-20 12:00:00,54.24
2024-02-20 13:00:00,51.46
2024-02-20 14:00:00,46.55
2024-02-20 15:00:00,47.63
2024-02-20 16:00:00,47.84
2024-02-20 17:00:00,44.34
2024-02-20 18:00:00,42.25
2024-02-20 19:00:00,40.22
2024-02-20 20:00:00,33.79
2024-02-20 21:00:00,26.97
2024-02-20 22:00:00,12.82
2024-02-20 23:00:00,10.05
2024-02-21 00:00:00,9.71
2024-02-21 01:00:00,9.57
2024-02-21 02:00:00,9.94
2024-02-21 03:00:00,10.0
2024-02-21 04:00:00,11.63
2024-02-21 05:00:00,11.86
2024-02-21 06:00:00,10.12
2024-02-21 07:00:00,15.44
2024-02-21 08:00:00,26.67
2024-02-21 09:00:00,34.76
2024-02-21 10:00:00,36.8
2024-02-21 11:00:00,45.9
2024-02-21 12:00:00,45.48
2024-02-21 13:00:00,52.35
2024-02-21 14:00:00,49.18
2024-02-21 15:00:00,42.84
2024-02-21 16:00:00,37.72
2024-02-21 17:00:00,47.56
2024-02-21 18:00:00,46.58
2024-02-21 19:00:00,45.3
2024-02-21 20:00:00,41.4
2024-02-21 21:00:00,35.44
2024-02-21 22:00:00,15.17
2024-02-21 23:00:00,10.85
2024-02-22 00:00:00,10.19
2024-02-22 01:00:00,9.43
2024-02-22 02:00:00,11.5
2024-02-22 03:00:00,12.25
2024-02-22 04:00:00,11.85
2024-02-22 05:00:00,12.14
2024-02-22 06:00:00,10.44
2024-02-22 07:00:00,16.95
2024-02-22 08:00:00,31.51
2024-02-22 09:00:00,38.92
2024-02-22 10:00:00,36.86
2024-02-22 11:00:00,38.22
2024-02-22 12:00:00,37.44
2024-02-22 13:00:00,41.85
2024-02-22 14:00:00,38.62
2024-02-22 15:00:00,37.19
2024-02-22 16:00:00,35.01
2024-02-22 17:00:00,36.47
2024-02-22 18:00:00,42.23
2024-02-22 19:00:00,40.36
2024-02-22 20:00:00,36.95
2024-02-22 21:00:00,31.89
2024-02-22 22:00:00,11.64
2024-02-22 23:00:00,9.65
2024-02-23 00:00:00,9.09
2024-02-23 01:00:00,9.46
2024-02-23 02:00:00,9.45
2024-02-23 03:00:00,9.61
2024-02-23 04:00:00,10.77
2024-02-23 05:00:00,11.12
2024-02-23 06:00:00,10.17
2024-02-23 07:00:00,14.46
2024-02-23 08:00:00,34.4
2024-02-23 09:00:00,40.14
2024-02-23 10:00:00,41.84
2024-02-23 11:00:00,42.53
2024-02-23 12:00:00,38.9
2024-02-23 13:00:00,44.69
2024-02-23 14:00:00,55.03
2024-02-23 15:00:00,49.34
2024-02-23 16:00:00,37.72
2024-02-23 17:00:00,33.95
2024-02-23 18:00:00,36.84
2024-02-23 19:00:00,34.94
2024-02-23 20:00:00,31.06
2024-02-23 21:00:00,28.51
2024-02-23 22:00:00,11.43
2024-02-23 23:00:00,9.52
2024-02-24 00:00:00,9.03
2024-02-24 01:00:00,9.69
2024-02-24 02:00:00,10.54
2024-02-24 03:00:00,9.53
2024-02-24 04:00:00,10.64
2024-02-24 05:00:00,11.29
2024-02-24 06:00:00,9.79
2024-02-24 07:00:00,21.28
2024-02-24 08:00:00,56.72
2024-02-24 09:00:00,71.37
2024-02-24 10:00:00,79.33
2024-02-24 11:00:00,76.9
2024-02-24 12:00:00,70.77
2024-02-24 13:00:00,69.37
2024-02-24 14:00:00,68.03
2024-02-24 15:00:00,67.06
2024-02-24 16:00:00,52.69
2024-02-24 17:00:00,30.32
2024-02-24 18:00:00,16.32
2024-02-24 19:00:00,14.81
2024-02-24 20:00:00,14.96
2024-02-24 21:00:00,14.0
2024-02-24 22:00:00,9.87
2024-02-24 23:00:00,8.99
2024-02-25 00:00:00,8.73
2024-02-25 01:00:00,8.73
2024-02-25 02:00:00,9.39
2024-02-25 03:00:00,9.56
2024-02-25 04:00:00,10.76
2024-02-25 05:00:00,10.89
2024-02-25 06:00:00,11.12
2024-02-25 07:00:00,20.45
2024-02-25 08:00:00,37.92
2024-02-25 09:00:00,43.37
2024-02-25 10:00:00,45.59
2024-02-25 11:00:00,45.27
2024-02-25 12:00:00,43.6
2024-02-25 13:00:00,40.77
2024-02-25 14:00:00,36.19
2024-02-25 15:00:00,33.05
2024-02-25 16:00:00,32.1
2024-02-25 17:00:00,26.29
2024-02-25 18:00:00,14.52
2024-02-25 19:00:00,14.66
2024-02-25 20:00:00,14.42
2024-02-25 21:00:00,13.99
2024-02-25 22:00:00,10.44
2024-02-25 23:00:00,9.09
2024-02-26 00:00:00,8.87
2024-02-26 01:00:00,9.06
2024-02-26 02:00:00,9.55
2024-02-26 03:00:00,9.79
2024-02-26 04:00:00,11.3
2024-02-26 05:00:00,11.53
2024-02-26 06:00:00,10.1
2024-02-26 07:00:00,12.79
2024-02-26 08:00:00,20.95
2024-02-26 09:00:00,26.9
2024-02-26 10:00:00,27.52
2024-02-26 11:00:00,32.88
2024-02-26 12:00:00,30.67
2024-02-26 13:00:00,37.6
2024-02-26 14:00:00,38.83
2024-02-26 15:00:00,34.18
2024-02-26 16:00:00,33.17
2024-02-26 17:00:00,42.0
2024-02-26 18:00:00,55.33
2024-02-26 19:00:00,51.39
2024-02-26 20:00:00,48.59
2024-02-26 21:00:00,44.22
2024-02-26 22:00:00,13.84
2024-02-26 23:00:00,10.75
2024-02-27 00:00:00,10.41
2024-02-27 01:00:00,9.77
2024-02-27 02:00:00,9.69
2024-02-27 03:00:00,10.55
2024-02-27 04:00:00,11.38
2024-02-27 05:00:00,12.18
2024-02-27 06:00:00,10.67
2024-02-27 07:00:00,14.96
2024-02-27 08:00:00,23.68
2024-02-27 09:00:00,25.86
2024-02-27 10:00:00,27.56
2024-02-27 11:00:00,29.16
2024-02-27 12:00:00,27.9
2024-02-27 13:00:00,33.49
2024-02-27 14:00:00,34.02
2024-02-27 15:00:00,30.47
2024-02-27 16:00:00,30.86
2024-02-27 17:00:00,40.13
2024-02-27 18:00:00,45.68
2024-02-27 19:00:00,44.93
2024-02-27 20:00:00,43.27
2024-02-27 21:00:00,38.05
2024-02-27 22:00:00,15.54
2024-02-27 23:00:00,9.69
2024-02-28 00:00:00,9.34
2024-02-28 01:00:00,8.9
2024-02-28 02:00:00,9.5
2024-02-28 03:00:00,9.87
2024-02-28 04:00:00,11.07
2024-02-28 05:00:00,11.48
2024-02-28 06:00:00,10.26
2024-02-28 07:00:00,12.09
2024-02-28 08:00:00,13.52
2024-02-28 09:00:00,13.21
2024-02-28 10:00:00,13.36
2024-02-28 11:00:00,13.09
2024-02-28 12:00:00,13.52
2024-02-28 13:00:00,13.04
2024-02-28 14:00:00,13.28
2024-02-28 15:00:00,13.18
2024-02-28 16:00:00,13.49
2024-02-28 17:00:00,15.53
2024-02-28 18:00:00,15.64
2024-02-28 19:00:00,15.88
2024-02-28 20:00:00,14.99
2024-02-28 21:00:00,15.88
2024-02-28 22:00:00,11.4
2024-02-28 23:00:00,10.21
2024-02-29 00:00:00,9.38
2024-02-29 01:00:00,8.92
2024-02-29 02:00:00,9.53
2024-02-29 03:00:00,9.58
2024-02-29 04:00:00,11.09
2024-02-29 05:00:00,11.23
2024-02-29 06:00:00,10.08
2024-02-29 07:00:00,13.98
2024-02-29 08:00:00,25.34
2024-02-29 09:00:00,30.09
2024-02-29 10:00:00,30.41
2024-02-29 11:00:00,34.74
2024-02-29 12:00:00,34.99
2024-02-29 13:00:00,37.12
2024-02-29 14:00:00,36.85
2024-02-29 15:00:00,36.4
2024-02-29 16:00:00,34.79
2024-02-29 17:00:00,40.39
2024-02-29 18:00:00,42.2
2024-02-29 19:00:00,44.73
2024-02-29 20:00:00,41.66
2024-02-29 21:00:00,35.76
2024-02-29 22:00:00,12.22
2024-02-29 23:00:00,11.17
2024-03-01 00:00:00,8.86
2024-03-01 01:00:00,8.78
2024-03-01 02:00:00,9.24
2024-03-01 03:00:00,9.33
2024-03-01 04:00:00,10.87
2024-03-01 05:00:00,11.23
2024-03-01 06:00:00,9.9
2024-03-01 07:00:00,14.11
2024-03-01 08:00:00,29.99
2024-03-01 09:00:00,32.94
2024-03-01 10:00:00,37.84
2024-03-01 11:00:00,43.77
2024-03-01 12:00:00,38.97
2024-03-01 13:00:00,41.29
2024-03-01 14:00:00,39.5
2024-03-01 15:00:00,41.23
2024-03-01 16:00:00,40.49
2024-03-01 17:00:00,42.27
2024-03-01 18:00:00,42.88
2024-03-01 19:00:00,41.19
2024-03-01 20:00:00,37.46
2024-03-01 21:00:00,33.22
2024-03-01 22:00:00,12.11
2024-03-01 23:00:00,10.15
2024-03-02 00:00:00,9.6
2024-03-02 01:00:00,9.66
2024-03-02 02:00:00,10.1
2024-03-02 03:00:00,10.19
2024-03-02 04:00:00,11.59
2024-03-02 05:00:00,11.86
2024-03-02 06:00:00,10.79
2024-03-02 07:00:00,14.33
2024-03-02 08:00:00,44.01
2024-03-02 09:00:00,49.38
2024-03-02 10:00:00,52.5
2024-03-02 11:00:00,53.56
2024-03-02 12:00:00,50.38
2024-03-02 13:00:00,47.67
2024-03-02 14:00:00,46.44
2024-03-02 15:00:00,49.03
2024-03-02 16:00:00,40.23
2024-03-02 17:00:00,28.44
2024-03-02 18:00:00,17.77
2024-03-02 19:00:00,15.34
2024-03-02 20:00:00,15.04
2024-03-02 21:00:00,14.98
2024-03-02 22:00:00,10.57
2024-03-02 23:00:00,9.88
2024-03-03 00:00:00,10.45
2024-03-03 01:00:00,9.43
2024-03-03 02:00:00,9.93
2024-03-03 03:00:00,10.21
2024-03-03 04:00:00,11.93
2024-03-03 05:00:00,12.25
